Start: [-626.0, -138.0]
Goal: [-625.9065, -137.78468]
X:   25, Y:   -6 -- Position: -625.340759, -138.000000 (+0.65921944)
X:   47, Y:   -8 -- Position: -623.991272, -138.000000 (+1.3495119)
X:  -65, Y:   10 -- Position: -625.906677, -138.000000 (-1.915393)
X:   25, Y:   -6 -- Position: -625.247437, -138.000000 (+0.65921944)
X:   25, Y:   -6 -- Position: -624.588196, -138.000000 (+0.65921944)
X:  -46, Y:    8 -- Position: -625.906616, -138.000000 (-1.3184389)
X:   25, Y:   -6 -- Position: -625.247375, -138.000000 (+0.65921944)
X:   25, Y:   -6 -- Position: -624.588135, -138.000000 (+0.65921944)
X:  -46, Y:    8 -- Position: -625.906555, -138.000000 (-1.3184389)
X:   25, Y:   -6 -- Position: -625.247314, -138.000000 (+0.65921944)
X:   25, Y:   -6 -- Position: -624.588074, -138.000000 (+0.65921944)
X:  -46, Y:    8 -- Position: -625.906494, -138.000000 (-1.3184389)
Solved X axis.
X:  -10, Y:  -65 -- Position: -625.906494, -136.084610 (+1.915393)
X:    9, Y:   58 -- Position: -625.906494, -137.779282 (-1.6946687)
X:  -15, Y: -121 -- Position: -625.906494, -135.591843 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.779343 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.591904 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.779404 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.591965 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.779465 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.592026 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.779526 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.592087 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.779587 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.592148 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.779648 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.592209 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.779709 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.592270 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.779770 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.592331 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.779831 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.592392 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.779892 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.592453 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.779953 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.592514 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.780014 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.592575 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.780075 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.592636 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.780136 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.592697 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.780197 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.592758 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.780258 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.592819 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.780319 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.592880 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.780380 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.592941 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.780441 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.593002 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.780502 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.593063 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.780563 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.593124 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.780624 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.593185 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.780685 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.593246 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.780746 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.593307 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.780807 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.593369 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.780869 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.593430 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.780930 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.593491 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.780991 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.593552 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.781052 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.593613 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.781113 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.593674 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.781174 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.593735 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.781235 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.593796 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.781296 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.593857 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.781357 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.593918 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.781418 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.593979 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.781479 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.594040 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.781540 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.594101 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.781601 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.594162 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.781662 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.594223 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.781723 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.594284 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.781784 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.594345 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.781845 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.594406 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.781906 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.594467 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.781967 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.594528 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.782028 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.594589 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.782089 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.594650 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.782150 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.594711 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.782211 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.594772 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.782272 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.594833 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.782333 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.594894 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.782394 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.594955 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.782455 (-2.1875)
